start	end	weight	direction
4803	4914	1	1
4803	4915	1	1
627	4914	1	1
627	4915	1	1
4908	4914	1	1
4908	4915	1	1
4909	4914	1	1
4909	4915	1	1
1950	1956	1	1
2246	2260	1	1
2246	2261	1	1
2246	2263	1	1
2246	2264	1	1
2247	2260	1	1
2247	2261	1	1
2247	2263	1	1
2247	2264	1	1
2248	2260	1	1
2248	2261	1	1
2248	2263	1	1
2248	2264	1	1
2249	2260	1	1
2249	2261	1	1
2249	2263	1	1
2249	2264	1	1
2250	2260	1	1
2250	2261	1	1
2250	2263	1	1
2250	2264	1	1
2251	2260	1	1
2251	2261	1	1
2251	2263	1	1
2251	2264	1	1
2252	2260	1	1
2252	2261	1	1
2252	2263	1	1
2252	2264	1	1
2253	2260	1	1
2253	2261	1	1
2253	2263	1	1
2253	2264	1	1
2254	2260	1	1
2254	2261	1	1
2254	2263	1	1
2254	2264	1	1
2255	2260	1	1
2255	2261	1	1
2255	2263	1	1
2255	2264	1	1
2256	2260	1	1
2256	2261	1	1
2256	2263	1	1
2256	2264	1	1
2257	2260	1	1
2257	2261	1	1
2257	2263	1	1
2257	2264	1	1
2258	2260	1	1
2258	2261	1	1
2258	2263	1	1
2258	2264	1	1
2259	2260	1	1
2259	2261	1	1
2259	2263	1	1
2259	2264	1	1
26281	2260	1	1
26281	2261	1	1
26281	2263	1	1
26281	2264	1	1
26291	2260	1	1
26291	2261	1	1
26291	2263	1	1
26291	2264	1	1
27006	2260	1	1
27006	2261	1	1
27006	2263	1	1
27006	2264	1	1
8074	2260	1	1
8074	2261	1	1
8074	2263	1	1
8074	2264	1	1
8817	2260	1	1
8817	2261	1	1
8817	2263	1	1
8817	2264	1	1
8822	2260	1	1
8822	2261	1	1
8822	2263	1	1
8822	2264	1	1
8823	2260	1	1
8823	2261	1	1
8823	2263	1	1
8823	2264	1	1
9965	2260	1	1
9965	2261	1	1
9965	2263	1	1
9965	2264	1	1
5154	5156	1	1
5154	5159	1	1
5155	5156	1	1
5155	5159	1	1
2768	5922	1	1
55970	5922	1	1
9693	22800	1	1
9693	22808	1	1
9693	3265	1	1
9693	3845	1	1
9693	4893	1	1
9693	6237	1	1
5923	22800	1	1
5923	22808	1	1
5923	3265	1	1
5923	3845	1	1
5923	4893	1	1
5923	6237	1	1
5924	22800	1	1
5924	22808	1	1
5924	3265	1	1
5924	3845	1	1
5924	4893	1	1
5924	6237	1	1
10125	22800	1	1
10125	22808	1	1
10125	3265	1	1
10125	3845	1	1
10125	4893	1	1
10125	6237	1	1
10235	22800	1	1
10235	22808	1	1
10235	3265	1	1
10235	3845	1	1
10235	4893	1	1
10235	6237	1	1
115727	22800	1	1
115727	22808	1	1
115727	3265	1	1
115727	3845	1	1
115727	4893	1	1
115727	6237	1	1
25780	22800	1	1
25780	22808	1	1
25780	3265	1	1
25780	3845	1	1
25780	4893	1	1
25780	6237	1	1
5906	673	1	1
5908	673	1	1
7124	7132	1	1
3552	3554	1	1
3552	7850	1	1
3553	3554	1	1
3553	7850	1	1
356	355	1	1
7040	130399	1	1
7040	7046	1	1
7040	7048	1	1
7040	91	1	1
7042	130399	1	1
7042	7046	1	1
7042	7048	1	1
7042	91	1	1
7043	130399	1	1
7043	7046	1	1
7043	7048	1	1
7043	91	1	1
7132	836	1	1
7132	7186	1	1
3554	836	1	1
7850	836	1	1
355	1616	1	1
130399	1616	1	1
7046	1616	1	1
7048	1616	1	1
91	1616	1	1
6654	22800	1	1
6654	22808	1	1
6654	3265	1	1
6654	3845	1	1
6654	4893	1	1
6654	6237	1	1
6655	22800	1	1
6655	22808	1	1
6655	3265	1	1
6655	3845	1	1
6655	4893	1	1
6655	6237	1	1
22800	673	1	1
22808	673	1	1
3265	673	1	1
3845	673	1	1
4893	673	1	1
6237	673	1	1
22800	5894	1	1
22808	5894	1	1
3265	5894	1	1
3845	5894	1	1
4893	5894	1	1
6237	5894	1	1
22800	4342	1	1
22808	4342	1	1
3265	4342	1	1
3845	4342	1	1
4893	4342	1	1
6237	4342	1	1
5879	4214	1	1
5880	4214	1	1
5881	4214	1	1
998	4214	1	1
5879	5058	1	1
5879	5062	1	1
5880	5058	1	1
5880	5062	1	1
5881	5058	1	1
5881	5062	1	1
998	5058	1	1
998	5062	1	1
836	6788	1	1
836	6789	1	1
7186	5871	1	1
7186	4217	1	1
7186	4214	1	1
1616	4217	1	1
10912	4216	1	1
1647	4216	1	1
4616	4216	1	1
836	5058	1	1
836	5062	1	1
836	4214	1	1
7039	1956	1	1
374	1956	1	1
685	1956	1	1
685	2066	1	1
1839	1956	1	1
