Source	Target	Weight	Direction
hsa:7157	hsa:51426	1	1
hsa:7157	hsa:1643	1	1
hsa:7157	hsa:578	1	1
hsa:7157	hsa:581	1	1
hsa:10912	hsa:1647	1	0
hsa:10912	hsa:4616	1	0
hsa:1647	hsa:4616	1	0
hsa:7157	hsa:10912	1	1
hsa:7157	hsa:1647	1	1
hsa:7157	hsa:4616	1	1
hsa:7157	hsa:1026	2	1
hsa:3265	hsa:3845	1	0
hsa:3265	hsa:4893	1	0
hsa:3845	hsa:4893	1	0
hsa:369	hsa:5894	1	0
hsa:369	hsa:673	1	0
hsa:5894	hsa:673	1	0
hsa:3265	hsa:369	1	1
hsa:3265	hsa:5894	1	1
hsa:3265	hsa:673	1	1
hsa:3845	hsa:369	1	1
hsa:3845	hsa:5894	1	1
hsa:3845	hsa:673	1	1
hsa:4893	hsa:369	1	1
hsa:4893	hsa:5894	1	1
hsa:4893	hsa:673	1	1
hsa:5604	hsa:5605	1	0
hsa:369	hsa:5604	2	1
hsa:369	hsa:5605	2	1
hsa:5894	hsa:5604	2	1
hsa:5894	hsa:5605	2	1
hsa:673	hsa:5604	2	1
hsa:673	hsa:5605	2	1
hsa:5594	hsa:5595	1	0
hsa:5604	hsa:5594	2	1
hsa:5604	hsa:5595	2	1
hsa:5605	hsa:5594	2	1
hsa:5605	hsa:5595	2	1
hsa:1019	hsa:1021	1	0
hsa:1029	hsa:1019	1	0
hsa:1029	hsa:1021	1	0
hsa:10000	hsa:207	1	0
hsa:10000	hsa:208	1	0
hsa:207	hsa:208	1	0
hsa:10000	hsa:1027	2	1
hsa:207	hsa:1027	2	1
hsa:208	hsa:1027	2	1
hsa:10000	hsa:572	2	1
hsa:207	hsa:572	2	1
hsa:208	hsa:572	2	1
hsa:10000	hsa:4193	2	1
hsa:207	hsa:4193	2	1
hsa:208	hsa:4193	2	1
hsa:1147	hsa:3551	1	0
hsa:1147	hsa:8517	1	0
hsa:3551	hsa:8517	1	0
hsa:10000	hsa:1147	2	1
hsa:10000	hsa:3551	2	1
hsa:10000	hsa:8517	2	1
hsa:207	hsa:1147	2	1
hsa:207	hsa:3551	2	1
hsa:207	hsa:8517	2	1
hsa:208	hsa:1147	2	1
hsa:208	hsa:3551	2	1
hsa:208	hsa:8517	2	1
hsa:595	hsa:5925	1	0
hsa:1019	hsa:595	1	0
hsa:1021	hsa:595	1	0
hsa:4088	hsa:4089	1	0
hsa:1869	hsa:1870	1	0
hsa:1869	hsa:1871	1	0
hsa:1870	hsa:1871	1	0
hsa:1869	hsa:5925	1	0
hsa:1870	hsa:5925	1	0
hsa:1871	hsa:5925	1	0
hsa:4193	hsa:7157	2	1
hsa:1398	hsa:1399	1	0
hsa:5290	hsa:5291	1	0
hsa:5290	hsa:5293	1	0
hsa:5290	hsa:5295	1	0
hsa:5290	hsa:5296	1	0
hsa:5290	hsa:8503	1	0
hsa:5291	hsa:5293	1	0
hsa:5291	hsa:5295	1	0
hsa:5291	hsa:5296	1	0
hsa:5291	hsa:8503	1	0
hsa:5293	hsa:5295	1	0
hsa:5293	hsa:5296	1	0
hsa:5293	hsa:8503	1	0
hsa:5295	hsa:5296	1	0
hsa:5295	hsa:8503	1	0
